canonical_term,category,quality_flags,details,source_count,official_sources,source_documents,aliases,confidence
permanent wood,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
pests,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
phylloxera,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
pruning,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
replacement cane pruning,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
rootstock,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
shoots,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
site selection,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
summer pruning,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
training,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
trellising,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
vineyard management,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Vitis vinifera,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
whole bunch fermentation,viticulture,alias_collision; ambiguous_category; needs_human_review; possible_ocr_issue,"categories: vinification, viticulture | whole bunch -> whole bunch fermentation/vinification, whole bunch fermentation/viticulture | needs_human_review | possible_ocr_issue",1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,whole bunch,medium
Indication géographique protégée,wine_law,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Indication geographique protegee,medium
Spätlese,wine_law,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Spatlese,high
sélection de grains nobles,wine_law,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,selection de grains nobles,high
Tokaji Aszú,wine_law,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Tokaji Aszu,high
